Number of Calls,Time / Seconds,Time Per Call / Seconds,Function
18,243.438,13.524,python3.8/site-packages/numpy/lib/npyio.py:626(savez_compressed)
18,243.436,13.524,python3.8/site-packages/numpy/lib/npyio.py:692(_savez)
6738,242.564,0.036,python3.8/zipfile.py:1132(write)
1,239.887,239.887,coppafish/pipeline/run.py:118(run_stitch)
95,237.406,2.499,coppafish/stitch/shift.py:132(get_best_shift_3d)
6722,235.26,0.035,{method 'compress' of 'zlib.Compress' objects}
234445,234.445,0.001,python3.8/site-packages/jax/_src/util.py:214(wrapper)
1,230.366,230.366,coppafish/pipeline/run.py:195(run_reference_spots)
55960,223.841,0.004,python3.8/site-packages/jax/_src/util.py:210(cached)
44514,222.568,0.005,python3.8/site-packages/jax/_src/dispatch.py:137(xla_primitive_callable)
72206,216.617,0.003,python3.8/site-packages/jax/interpreters/partial_eval.py:1833(trace_to_subjaxpr_dynamic)
53845,215.38,0.004,python3.8/site-packages/jax/interpreters/partial_eval.py:1884(trace_to_jaxpr_final)
1,205.308,205.308,coppafish/pipeline/reference_spots.py:10(reference_spots)
2,203.23,101.615,coppafish/utils/npy.py:143(save_stitched)
365,197.993,0.542,coppafish/omp/spots.py:12(count_spot_neighbours)
65747,197.24,0.003,python3.8/site-packages/jax/linear_util.py:154(call_wrapped)
196817,196.817,0.001,python3.8/site-packages/jax/_src/numpy/lax_numpy.py:3649(_index_to_gather)
35027,175.134,0.005,python3.8/site-packages/jax/interpreters/mlir.py:494(lower_jaxpr_to_module)
0,173.678,0,python3.8/site-packages/jax/_src/dispatch.py:151(<lambda>)
1,142.131,142.131,coppafish/omp/spots.py:113(spot_neighbourhood)
138892,138.892,0.001,python3.8/site-packages/jax/_src/lax/slicing.py:216(gather)
0,128.373,0,{method 'reduce' of 'numpy.ufunc' objects}
126372,126.372,0.001,python3.8/site-packages/jax/_src/numpy/lax_numpy.py:3414(_normalize_index)
41006,123.019,0.003,python3.8/site-packages/jax/interpreters/mlir.py:655(lower_jaxpr_to_fun)
491,121.365,0.247,coppafish/find_spots/base.py:177(get_local_maxima_jax)
37,118.808,3.211,coppafish/stitch/shift.py:174(get_best_shift_2d)
38869,116.607,0.003,python3.8/site-packages/jax/interpreters/mlir.py:863(jaxpr_subcomp)
663,110.706,0.167,coppafish/utils/morphology.py:321(imfilter_coords)
108267,108.267,0.001,python3.8/site-packages/jax/_src/numpy/lax_numpy.py:3675(<genexpr>)
53486,106.972,0.002,{method 'read' of '_io.BufferedReader' objects}
1076,106.567,0.099,python3.8/site-packages/scipy/sparse/_index.py:32(__getitem__)
0,105.771,0,python3.8/site-packages/jax/_src/dispatch.py:868(device_put)
10398,103.983,0.01,python3.8/site-packages/nd2reader/stitched.py:39(remove_parsed_unwanted_bytes)
10397,103.971,0.01,python3.8/site-packages/nd2reader/stitched.py:6(get_unwanted_bytes_ids)
103506,103.506,0.001,python3.8/site-packages/jax/_src/numpy/lax_numpy.py:4552(deferring_binary_op)
0,102.77,0,python3.8/site-packages/jax/_src/util.py:109(concatenate)
0,102.197,0,python3.8/site-packages/jax/_src/dispatch.py:611(<genexpr>)
200,101.658,0.508,coppafish/extract/base.py:111(get_extract_info)
11272,101.444,0.009,python3.8/site-packages/nd2reader/common.py:47(read_chunk)
96138,96.138,0.001,python3.8/site-packages/jax/core.py:598(__getitem__)
1074,93.421,0.087,python3.8/site-packages/scipy/sparse/compressed.py:779(_get_submatrix)
439,93.417,0.213,python3.8/site-packages/scipy/sparse/csr.py:317(_get_sliceXint)
438,93.367,0.213,{built-in method scipy.sparse._sparsetools.get_csr_submatrix}
0,92.379,0,python3.8/site-packages/jax/interpreters/partial_eval.py:1574(process_call)
8849,88.488,0.01,python3.8/site-packages/jax/_src/numpy/lax_numpy.py:508(transpose)
17697,88.483,0.005,python3.8/site-packages/jax/_src/lax/lax.py:878(transpose)
5654,84.816,0.015,python3.8/site-packages/jax/_src/numpy/lax_numpy.py:756(_transpose)
6500,78.005,0.012,{method 'max' of 'numpy.ndarray' objects}
6500,77.999,0.012,python3.8/site-packages/numpy/core/_methods.py:38(_amax)
11111,77.78,0.007,python3.8/site-packages/numpy/lib/npyio.py:284(load)
23651,70.953,0.003,{method 'astype' of 'numpy.ndarray' objects}
4321,69.138,0.016,python3.8/site-packages/jax/_src/api.py:1475(vmap_f)
0,68.17,0,python3.8/site-packages/jax/_src/dispatch.py:878(_device_put_array)
32906,65.811,0.002,coppafish/find_spots/base.py:208(<listcomp>)
0,64.707,0,python3.8/site-packages/jax/_src/util.py:42(safe_map)
0,64.334,0,python3.8/site-packages/jax/interpreters/partial_eval.py:1557(process_primitive)
12,63.737,5.311,coppafish/setup/notebook.py:371(__iadd__)
12,63.737,5.311,coppafish/setup/notebook.py:350(add_page)
16,63.737,3.984,coppafish/setup/notebook.py:303(__setattr__)
12,63.729,5.311,coppafish/setup/notebook.py:395(save)
0,63.344,0,python3.8/site-packages/jax/interpreters/partial_eval.py:1562(default_process_primitive)
0,58.758,0,python3.8/site-packages/jax/_src/lax/lax.py:489(_convert_element_type)
437,52.872,0.121,coppafish/omp/spots.py:72(cropped_coef_image)
0,52.813,0,python3.8/site-packages/numpy/core/fromnumeric.py:51(_wrapfunc)
0,52.77,0,python3.8/site-packages/jax/_src/lax/lax.py:719(broadcast_in_dim)
200,51.804,0.259,<__array_function__ internals>:2(histogram)
200,51.747,0.259,python3.8/site-packages/numpy/lib/histograms.py:678(histogram)
50538,50.538,0.001,python3.8/site-packages/jax/interpreters/batching.py:213(process_call)
9967,49.834,0.005,python3.8/site-packages/numpy/lib/format.py:792(open_memmap)
49516,49.516,0.001,<__array_function__ internals>:2(concatenate)
49424,49.424,0.001,python3.8/site-packages/jax/interpreters/mlir.py:382(__init__)
48290,48.29,0.001,python3.8/site-packages/jax/interpreters/mlir.py:319(make_ir_context)
0,44.775,0,python3.8/site-packages/jax/_src/lax/lax.py:400(add)
0,44.547,0,python3.8/site-packages/jax/_src/lax/lax.py:470(convert_element_type)
0,43.398,0,python3.8/site-packages/jax/_src/lax/lax.py:466(lt)
0,43.215,0,python3.8/site-packages/numpy/core/fromnumeric.py:69(_wrapreduction)
0,43.06,0,python3.8/site-packages/jax/_src/lax/lax.py:1203(expand_dims)
10500,41.998,0.004,<__array_function__ internals>:2(append)
10496,41.983,0.004,python3.8/site-packages/numpy/lib/function_base.py:4762(append)
10488,41.951,0.004,python3.8/site-packages/numpy/core/memmap.py:208(__new__)
0,40.953,0,python3.8/site-packages/jax/core.py:358(abstract_eval_)
0,39.758,0,python3.8/site-packages/jax/_src/lax/lax.py:843(select)
0,39.704,0,python3.8/site-packages/jax/_src/lax/utils.py:55(standard_abstract_eval)
4220,37.976,0.009,python3.8/site-packages/jax/_src/numpy/lax_numpy.py:4449(_astype)
1176,37.637,0.032,python3.8/site-packages/jax/_src/numpy/lax_numpy.py:1542(pad)
1,35.412,35.412,coppafish/pipeline/stitch.py:10(stitch)
0,34.723,0,python3.8/site-packages/jax/interpreters/xla.py:236(canonicalize_dtype)
0,34.04,0,{built-in method numpy.asarray}
0,33.66,0,python3.8/site-packages/jax/interpreters/xla.py:247(_canonicalize_ndarray_dtype)
32799,32.799,0.001,{method 'searchsorted' of 'numpy.ndarray' objects}
0,32.472,0,python3.8/site-packages/jax/core.py:567(__add__)
0,31.245,0,<__array_function__ internals>:2(sum)
0,31.121,0,python3.8/site-packages/numpy/core/fromnumeric.py:2123(sum)
1617,30.723,0.019,coppafish/omp/base.py:298(get_best_gene_vectorised)
0,30.654,0,python3.8/site-packages/jax/interpreters/partial_eval.py:1380(to_jaxpr)
1684,30.306,0.018,coppafish/omp/base.py:246(get_best_gene)
1638,27.848,0.017,coppafish/omp/base.py:37(fit_coefs_vectorised)
1614,27.445,0.017,coppafish/omp/base.py:11(fit_coefs)
13508,27.015,0.002,python3.8/site-packages/numpy/lib/histograms.py:454(_search_sorted_inclusive)
4399,26.396,0.006,python3.8/site-packages/jax/_src/numpy/lax_numpy.py:4561(<lambda>)
5,24.696,4.939,python3.8/site-packages/numpy_indexed/arraysetops.py:115(indices)
1817,23.62,0.013,coppafish/omp/base.py:119(get_best_gene_base)
0,22.606,0,python3.8/site-packages/jax/_src/config.py:253(get_state)
2,22.051,11.025,coppafish/extract/scale.py:73(get_scale)
0,21.67,0,python3.8/site-packages/jax/interpreters/mlir.py:295(_source_info_to_location)
2,21.465,10.732,coppafish/extract/scale.py:43(get_z_plane)
1618,21.028,0.013,python3.8/site-packages/jax/_src/numpy/linalg.py:541(lstsq)
0,20.658,0,<__array_function__ internals>:2(copyto)
0,20.578,0,python3.8/site-packages/jax/interpreters/mlir.py:177(ir_constants)
1688,20.254,0.012,python3.8/site-packages/jax/_src/numpy/linalg.py:500(_lstsq)
421,20.202,0.048,<__array_function__ internals>:2(zeros_like)
421,20.198,0.048,python3.8/site-packages/numpy/core/numeric.py:76(zeros_like)
0,20.197,0,python3.8/site-packages/jax/interpreters/mlir.py:873(read)
1,19.917,19.917,coppafish/pipeline/register.py:10(register)
19136,19.136,0.001,<__array_function__ internals>:2(sort)
19127,19.127,0.001,python3.8/site-packages/numpy/core/fromnumeric.py:846(sort)
19021,19.021,0.001,{method 'sort' of 'numpy.ndarray' objects}
9366,18.733,0.002,<__array_function__ internals>:2(argsort)
9361,18.722,0.002,python3.8/site-packages/numpy/core/fromnumeric.py:1006(argsort)
9354,18.709,0.002,{method 'argsort' of 'numpy.ndarray' objects}
10,18.465,1.846,python3.8/site-packages/numpy_indexed/index.py:288(as_index)
10,18.465,1.846,python3.8/site-packages/numpy_indexed/index.py:173(__init__)
0,18.457,0,{built-in method builtins.next}
10,18.456,1.846,python3.8/site-packages/numpy_indexed/index.py:112(__init__)
0,18.243,0,{built-in method builtins.any}
18022,18.022,0.001,python3.8/site-packages/jax/_src/numpy/lax_numpy.py:744(_reshape)
8934,17.868,0.002,python3.8/site-packages/jax/interpreters/mlir.py:1005(_xla_call_lower)
8920,17.841,0.002,python3.8/site-packages/jax/interpreters/mlir.py:987(_call_lowering)
0,17.511,0,python3.8/site-packages/jax/_src/numpy/ufuncs.py:85(fn)
0,17.508,0,python3.8/site-packages/jax/_src/numpy/lax_numpy.py:1800(array)
225,16.906,0.075,python3.8/site-packages/numpy/lib/format.py:699(read_array)
0,16.818,0,python3.8/site-packages/jax/_src/numpy/lax_numpy.py:1880(asarray)
0,16.677,0,python3.8/site-packages/jax/_src/numpy/lax_numpy.py:861(expand_dims)
0,16.496,0,python3.8/site-packages/jax/interpreters/batching.py:192(process_primitive)
16472,16.472,0.001,python3.8/site-packages/jax/_src/lax/lax.py:758(reshape)
0,16.327,0,python3.8/site-packages/jax/interpreters/partial_eval.py:1451(_inline_literals)
1,16.064,16.064,coppafish/pcr/base.py:302(iterate)
203,16.043,0.079,{built-in method numpy.fromfile}
0,15.97,0,python3.8/site-packages/jax/interpreters/mlir.py:206(_numpy_array_constant)
1310,15.723,0.012,coppafish/pcr/base.py:100(get_transform)
0,15.47,0,python3.8/site-packages/jax/core.py:571(__mul__)
0,15.367,0,python3.8/site-packages/jax/_src/lax/lax.py:554(concatenate)
1,15.337,15.337,coppafish/pipeline/call_reference_spots.py:13(call_reference_spots)
0,15.016,0,python3.8/site-packages/jax/interpreters/mlir.py:565(module_to_string)
0,14.838,0,python3.8/site-packages/jax/_src/lax/lax.py:2596(_broadcast_in_dim_shape_rule)
0,14.116,0,python3.8/site-packages/jax/_src/numpy/lax_numpy.py:3609(_split_index_for_jit)
0,14.004,0,{built-in method builtins.all}
0,13.75,0,python3.8/site-packages/jax/_src/dtypes.py:348(dtype)
1900,13.3,0.007,python3.8/site-packages/jax/_src/numpy/lax_numpy.py:1671(hstack)
1899,13.295,0.007,<__array_function__ internals>:2(round_)
1899,13.291,0.007,python3.8/site-packages/numpy/core/fromnumeric.py:3730(round_)
1898,13.289,0.007,<__array_function__ internals>:2(around)
1898,13.287,0.007,python3.8/site-packages/numpy/core/fromnumeric.py:3220(around)
4427,13.281,0.003,python3.8/site-packages/jax/_src/numpy/lax_numpy.py:1633(concatenate)
0,13.22,0,python3.8/site-packages/jax/_src/numpy/lax_numpy.py:3909(_expand_bool_indices)
1881,13.165,0.007,coppafish/call_spots/base.py:200(dot_product_score_jax)
4348,13.043,0.003,python3.8/site-packages/jax/_src/numpy/lax_numpy.py:1656(<listcomp>)
199,12.924,0.065,python3.8/site-packages/scipy/sparse/construct.py:470(vstack)
199,12.921,0.065,python3.8/site-packages/scipy/sparse/construct.py:504(bmat)
199,12.914,0.065,python3.8/site-packages/scipy/sparse/construct.py:403(_compressed_sparse_stack)
0,12.841,0,python3.8/site-packages/jax/core.py:373(eval_jaxpr)
629,12.576,0.02,python3.8/site-packages/scipy/sparse/csr.py:328(_get_arrayXslice)
0,12.529,0,python3.8/site-packages/jax/core.py:614(__getattr__)
0,12.077,0,{built-in method io.open}
624,11.859,0.019,python3.8/site-packages/scipy/sparse/compressed.py:677(_major_index_fancy)
0,11.758,0,python3.8/site-packages/jax/_src/lax/lax.py:2653(_broadcast_in_dim_staging_rule)
0,11.487,0,python3.8/site-packages/jax/_src/dtypes.py:205(issubdtype)
0,11.427,0,python3.8/site-packages/jax/_src/lax/lax.py:1402(naryop_dtype_rule)
0,11.283,0,python3.8/collections/__init__.py:410(_replace)
4,11.161,2.79,python3.8/site-packages/scipy/sparse/_matrix_io.py:11(save_npz)
0,11.053,0,python3.8/site-packages/jax/_src/numpy/util.py:314(_promote_args)
0,10.884,0,python3.8/site-packages/jaxlib/mlir/dialects/_mhlo_ops_gen.py:1065(__init__)
0,10.876,0,python3.8/site-packages/jax/interpreters/mlir.py:278(_python_scalar_handler)
0,10.814,0,<__array_function__ internals>:2(clip)
0,10.751,0,python3.8/site-packages/numpy/core/fromnumeric.py:2046(clip)
0,10.684,0,{method 'clip' of 'numpy.ndarray' objects}
0,10.658,0,python3.8/site-packages/numpy/core/_methods.py:125(_clip)
0,10.55,0,python3.8/site-packages/jax/_src/dtypes.py:71(canonicalize_dtype)
0,10.24,0,python3.8/site-packages/jax/_src/lax/lax.py:2153(_compare_lower_mhlo)
0,10.216,0,python3.8/site-packages/jax/_src/numpy/lax_numpy.py:3851(<listcomp>)
0,10.147,0,python3.8/site-packages/numpy/core/_methods.py:106(_clip_dep_invoke_with_casting)
0,9.582,0,python3.8/site-packages/jax/_src/dtypes.py:363(_lattice_result_type)
0,9.477,0,<__array_function__ internals>:2(result_type)
0,9.346,0,python3.8/site-packages/jax/core.py:413(full_raise)
0,9.331,0,<__array_function__ internals>:2(any)
0,9.325,0,python3.8/site-packages/jax/_src/lax/lax.py:4376(_check_shapelike)
0,9.205,0,python3.8/site-packages/jax/_src/config.py:98(_read)
0,9.098,0,python3.8/site-packages/jax/_src/source_info_util.py:146(current)
0,9.067,0,python3.8/site-packages/numpy/core/fromnumeric.py:2268(any)
0,8.953,0,{built-in method builtins.getattr}
0,8.717,0,python3.8/site-packages/jax/interpreters/mlir.py:231(_ndarray_constant_handler)
0,8.656,0,python3.8/collections/__init__.py:400(_make)
0,8.624,0,python3.8/site-packages/jax/core.py:1096(get_aval)
0,8.613,0,{built-in method builtins.isinstance}
658,8.559,0.013,python3.8/site-packages/scipy/sparse/base.py:760(nonzero)
0,8.437,0,python3.8/site-packages/jax/core.py:1259(__init__)
358,8.245,0.023,coppafish/omp/spots.py:53(<listcomp>)
8078,8.078,0.001,python3.8/site-packages/jax/_src/numpy/linalg.py:390(norm)
0,8.035,0,python3.8/site-packages/jax/interpreters/xla.py:263(abstractify)
0,8.032,0,python3.8/site-packages/jax/_src/numpy/util.py:247(_promote_dtypes)
0,8.008,0,python3.8/site-packages/jax/interpreters/partial_eval.py:1413(_const_folding_and_forwarding)
0,7.996,0,python3.8/site-packages/jax/core.py:995(find_top_trace)
654,7.852,0.012,python3.8/site-packages/scipy/sparse/compressed.py:1015(tocoo)
0,7.732,0,python3.8/site-packages/jax/core.py:1086(concrete_aval)
2545,7.634,0.003,<__array_function__ internals>:2(median)
2544,7.632,0.003,python3.8/site-packages/numpy/lib/function_base.py:3513(_ureduce)
2544,7.631,0.003,python3.8/site-packages/numpy/lib/function_base.py:3573(median)
2539,7.618,0.003,python3.8/site-packages/numpy/lib/function_base.py:3663(_median)
0,7.603,0,python3.8/site-packages/jax/_src/numpy/lax_numpy.py:3671(<genexpr>)
2514,7.541,0.003,<__array_function__ internals>:2(partition)
2513,7.538,0.003,python3.8/site-packages/numpy/core/fromnumeric.py:667(partition)
0,7.52,0,python3.8/site-packages/jax/_src/dtypes.py:364(<genexpr>)
0,7.517,0,python3.8/site-packages/jax/core.py:206(replace)
3754,7.508,0.002,python3.8/site-packages/jax/_src/numpy/lax_numpy.py:966(where)
7091,7.091,0.001,{built-in method zlib.crc32}
0,7.048,0,python3.8/site-packages/jax/_src/lax/lax.py:1528(_nary_lower_mhlo)
0,7.045,0,python3.8/site-packages/jax/_src/dtypes.py:249(_dtype_and_weaktype)
0,7.026,0,{method 'min' of 'numpy.ndarray' objects}
0,6.954,0,python3.8/site-packages/numpy/core/numerictypes.py:358(issubdtype)
0,6.92,0,{built-in method __new__ of type object at 0x104b0e7b0}
0,6.701,0,python3.8/site-packages/jax/_src/source_info_util.py:128(user_frame)
0,6.615,0,python3.8/site-packages/jax/interpreters/mlir.py:1054(compare_mhlo)
0,6.59,0,python3.8/site-packages/jax/interpreters/batching.py:138(aval)
0,6.544,0,python3.8/contextlib.py:108(__enter__)
0,6.48,0,python3.8/site-packages/numpy/core/_methods.py:42(_amin)
639,6.39,0.01,{built-in method scipy.sparse._sparsetools.expandptr}
0,6.376,0,python3.8/site-packages/jax/_src/lax/lax.py:1405(<genexpr>)
201,6.229,0.031,coppafish/call_spots/base.py:50(all_pixel_yxz)
5,6.174,1.235,<__array_function__ internals>:2(searchsorted)
5,6.174,1.235,python3.8/site-packages/numpy/core/fromnumeric.py:1283(searchsorted)
0,6.102,0,python3.8/site-packages/jax/_src/source_info_util.py:125(<genexpr>)
0,5.933,0,python3.8/site-packages/jax/_src/source_info_util.py:96(replace)
0,5.78,0,<__array_function__ internals>:2(ndim)
0,5.751,0,python3.8/site-packages/jax/_src/lax/lax.py:1511(broadcast_mhlo)
0,5.745,0,python3.8/site-packages/jax/core.py:1638(canonicalize_shape)
0,5.685,0,python3.8/site-packages/jax/interpreters/mlir.py:879(aval)
0,5.621,0,python3.8/site-packages/jax/interpreters/partial_eval.py:1543(makevar)
5538,5.538,0.001,python3.8/site-packages/jax/interpreters/mlir.py:969(f_lowered)
0,5.527,0,python3.8/site-packages/jax/core.py:1522(_dim_handler_and_canonical)
0,5.483,0,<__array_function__ internals>:2(diff)
0,5.428,0,python3.8/site-packages/jax/_src/dtypes.py:378(result_type)
1802,5.405,0.003,python3.8/site-packages/jax/_src/numpy/setops.py:200(isin)
0,5.4,0,python3.8/site-packages/numpy/lib/function_base.py:1164(diff)
0,5.239,0,python3.8/site-packages/jax/interpreters/batching.py:601(broadcast_batcher)
0,5.207,0,python3.8/site-packages/jax/_src/abstract_arrays.py:52(canonical_concrete_aval)
0,5.149,0,python3.8/site-packages/jax/_src/lax/slicing.py:1312(_gather_lower)
641,5.131,0.008,coppafish/utils/morphology.py:288(manual_convolve)
197,5.116,0.026,python3.8/site-packages/scipy/sparse/data.py:291(max)
197,5.115,0.026,python3.8/site-packages/scipy/sparse/data.py:188(_min_or_max)
196,5.093,0.026,python3.8/site-packages/scipy/sparse/data.py:163(_min_or_max_axis)
2534,5.069,0.002,{method 'partition' of 'numpy.ndarray' objects}
627,5.017,0.008,coppafish/utils/morphology.py:283(manual_convolve_single)
0,5.015,0,{method 'ravel' of 'numpy.ndarray' objects}
0,5.01,0,python3.8/site-packages/jax/interpreters/partial_eval.py:1500(new_const)
200,5.002,0.025,python3.8/site-packages/numpy/lib/histograms.py:283(_ravel_and_check_weights)
0,4.993,0,python3.8/site-packages/numpy/lib/format.py:570(_read_array_header)
0,4.948,0,python3.8/site-packages/jax/core.py:1926(mapped_aval)
0,4.895,0,python3.8/site-packages/jax/interpreters/partial_eval.py:1460(<lambda>)
0,4.877,0,python3.8/site-packages/jax/_src/source_info_util.py:105(is_user_filename)
0,4.867,0,{built-in method jaxlib.mlir._mlir_libs._mlirHlo.register_mhlo_dialect}
0,4.845,0,python3.8/contextlib.py:117(__exit__)
0,4.827,0,python3.8/site-packages/jax/_src/numpy/reductions.py:162(sum)
1578,4.733,0.003,python3.8/site-packages/jax/_src/numpy/setops.py:37(in1d)
0,4.728,0,python3.8/site-packages/jax/_src/numpy/ufuncs.py:99(fn)
670,4.689,0.007,{built-in method scipy.sparse._sparsetools.csr_row_index}
0,4.662,0,python3.8/site-packages/jax/core.py:2452(str_eqn_compact)
0,4.662,0,python3.8/site-packages/jax/core.py:1569(greater_equal_dim)
0,4.603,0,python3.8/site-packages/jax/interpreters/partial_eval.py:2047(_input_type_to_tracers)
209,4.589,0.022,coppafish/extract/base.py:82(strip_hack)
0,4.567,0,python3.8/site-packages/jax/_src/dispatch.py:647(_execute_trivial)
0,4.554,0,python3.8/site-packages/jax/_src/abstract_arrays.py:67(_make_concrete_python_scalar)
1124,4.497,0.004,coppafish/utils/morphology.py:262(get_shifts_from_kernel)
0,4.417,0,python3.8/site-packages/jax/_src/lax/lax.py:4398(<genexpr>)
207,4.35,0.021,<__array_function__ internals>:2(std)
207,4.349,0.021,python3.8/site-packages/numpy/core/fromnumeric.py:3449(std)
207,4.348,0.021,python3.8/site-packages/numpy/core/_methods.py:260(_std)
0,4.347,0,python3.8/site-packages/jaxlib/mlir/dialects/_mhlo_ops_gen.py:921(__init__)
0,4.304,0,python3.8/site-packages/jax/_src/numpy/util.py:255(<listcomp>)
0,4.303,0,python3.8/site-packages/jax/_src/abstract_arrays.py:35(make_shaped_array)
2150,4.3,0.002,python3.8/site-packages/jax/interpreters/mlir.py:1150(cached_lowering)
0,4.279,0,python3.8/site-packages/jax/core.py:1942(_map_shaped_array)
2111,4.222,0.002,python3.8/site-packages/jax/interpreters/mlir.py:834(_emit_lowering_rule_as_fun)
0,4.192,0,{built-in method numpy.array}
0,4.19,0,python3.8/site-packages/jax/core.py:263(<lambda>)
199,4.185,0.021,python3.8/site-packages/numpy/core/_methods.py:195(_var)
0,4.146,0,coppafish/stitch/shift.py:9(shift_score)
0,4.102,0,{built-in method jaxlib.xla_extension.get_traceback}
0,4.077,0,<__array_function__ internals>:2(shape)
0,4.058,0,python3.8/site-packages/jax/interpreters/partial_eval.py:1493(new_arg)
0,4.016,0,python3.8/site-packages/jax/_src/lax/lax.py:3260(_select_mhlo_lowering)
