Number of Calls,Time / Seconds,Time Per Call / Seconds,Function
31,389.819,12.575,coppafish/stitch/shift.py:318(compute_shift)
197,384.935,1.954,coppafish/call_spots/background.py:6(fit_background)
1,370.271,370.271,coppafish/pipeline/run.py:158(run_register)
179320,358.64,0.002,python3.9/site-packages/jax/_src/numpy/lax_numpy.py:3554(_rewriting_take)
35188,351.881,0.01,<__array_function__ internals>:177(where)
1,347.747,347.747,coppafish/pipeline/register_initial.py:9(register_initial)
344958,344.958,0.001,python3.9/site-packages/jax/core.py:679(process_primitive)
344663,344.663,0.001,python3.9/site-packages/jax/_src/dispatch.py:97(apply_primitive)
170466,340.933,0.002,python3.9/site-packages/jax/_src/numpy/lax_numpy.py:3576(_gather)
93,232.192,2.497,coppafish/stitch/shift.py:133(get_best_shift_3d)
227885,227.885,0.001,python3.9/site-packages/jax/_src/util.py:214(wrapper)
1,221.804,221.804,coppafish/pipeline/run.py:193(run_reference_spots)
44212,221.059,0.005,python3.9/site-packages/jax/_src/util.py:210(cached)
43966,219.83,0.005,python3.9/site-packages/jax/_src/dispatch.py:153(xla_primitive_callable)
213398,213.398,0.001,python3.9/site-packages/jax/_src/numpy/lax_numpy.py:4581(deferring_binary_op)
52721,210.884,0.004,python3.9/site-packages/jax/interpreters/partial_eval.py:1951(trace_to_jaxpr_final2)
52334,209.338,0.004,python3.9/site-packages/jax/interpreters/partial_eval.py:1911(trace_to_subjaxpr_dynamic2)
1,199.145,199.145,coppafish/pipeline/get_reference_spots.py:12(get_reference_spots)
2068,196.465,0.095,python3.9/site-packages/scipy/sparse/_compressed.py:26(__init__)
1,196.218,196.218,coppafish/pipeline/run.py:124(run_stitch)
1031,195.807,0.19,python3.9/site-packages/scipy/sparse/_coo.py:126(__init__)
479,194.652,0.406,{method 'nonzero' of 'numpy.ndarray' objects}
64297,192.892,0.003,python3.9/site-packages/jax/linear_util.py:154(call_wrapped)
191376,191.376,0.001,python3.9/site-packages/jax/_src/numpy/lax_numpy.py:3678(_index_to_gather)
37316,186.58,0.005,python3.9/site-packages/jax/interpreters/mlir.py:500(lower_jaxpr_to_module)
365,186.104,0.51,coppafish/omp/spots.py:12(count_spot_neighbours)
40,157.363,3.934,coppafish/stitch/shift.py:179(get_best_shift_2d)
2,152.553,76.277,coppafish/utils/npy.py:176(save_stitched)
15,144.025,9.602,<__array_function__ internals>:177(savez_compressed)
15,144.024,9.602,python3.9/site-packages/numpy/lib/npyio.py:603(savez_compressed)
15,144.024,9.602,python3.9/site-packages/numpy/lib/npyio.py:669(_savez)
2284,143.887,0.063,python3.9/site-packages/numpy/lib/format.py:625(write_array)
4782,143.457,0.03,python3.9/zipfile.py:1122(write)
4765,142.96,0.03,{method 'compress' of 'zlib.Compress' objects}
0,135.96,0,python3.9/site-packages/jax/_src/dispatch.py:975(device_put)
135622,135.622,0.001,python3.9/site-packages/jax/_src/lax/slicing.py:216(gather)
33616,134.462,0.004,python3.9/site-packages/jax/interpreters/mlir.py:664(lower_jaxpr_to_fun)
0,130.942,0,python3.9/site-packages/jax/_src/util.py:109(concatenate)
0,130.365,0,python3.9/site-packages/jax/_src/dispatch.py:712(<genexpr>)
32365,129.462,0.004,python3.9/site-packages/jax/interpreters/mlir.py:877(jaxpr_subcomp)
126646,126.646,0.001,python3.9/site-packages/jax/_src/numpy/lax_numpy.py:3443(_normalize_index)
493,122.208,0.248,coppafish/find_spots/detect_optimised.py:89(get_local_maxima_jax)
0,114.364,0,python3.9/site-packages/jax/_src/dispatch.py:167(<lambda>)
106202,106.202,0.001,python3.9/site-packages/jax/_src/numpy/lax_numpy.py:3704(<genexpr>)
1,104.942,104.942,coppafish/omp/spots.py:119(spot_neighbourhood)
663,104.744,0.158,coppafish/utils/morphology/filter_optimised.py:68(imfilter_coords)
0,98.596,0,python3.9/site-packages/numpy/core/fromnumeric.py:69(_wrapreduction)
0,93.347,0,python3.9/site-packages/jax/interpreters/partial_eval.py:1622(process_call)
90896,90.896,0.001,python3.9/site-packages/jax/core.py:601(__getitem__)
0,82.006,0,{method 'reduce' of 'numpy.ufunc' objects}
1078,81.926,0.076,python3.9/site-packages/scipy/sparse/_index.py:46(__getitem__)
81580,81.58,0.001,<__array_function__ internals>:177(sum)
81518,81.518,0.001,python3.9/site-packages/numpy/core/fromnumeric.py:2162(sum)
1080,75.588,0.07,python3.9/site-packages/scipy/sparse/_compressed.py:798(_get_submatrix)
437,75.585,0.173,python3.9/site-packages/scipy/sparse/_csr.py:315(_get_sliceXint)
439,75.535,0.172,{built-in method scipy.sparse._sparsetools.get_csr_submatrix}
0,69.629,0,python3.9/site-packages/jax/interpreters/partial_eval.py:1605(process_primitive)
0,68.683,0,python3.9/site-packages/jax/interpreters/partial_eval.py:1610(default_process_primitive)
0,67.759,0,python3.9/site-packages/jax/_src/dispatch.py:985(_device_put_array)
200,67.191,0.336,coppafish/call_spots/qual_check.py:6(get_spot_intensity)
33251,66.502,0.002,coppafish/find_spots/detect_optimised.py:120(<listcomp>)
0,65.313,0,python3.9/site-packages/jax/interpreters/xla.py:236(canonicalize_dtype)
0,64.249,0,{built-in method numpy.asarray}
0,64.152,0,python3.9/site-packages/jax/interpreters/xla.py:247(_canonicalize_ndarray_dtype)
4008,64.124,0.016,python3.9/site-packages/jax/_src/api.py:1547(vmap_f)
0,64.085,0,python3.9/site-packages/jax/_src/util.py:42(safe_map)
1796,59.264,0.033,python3.9/site-packages/numpy/lib/function_base.py:3674(_ureduce)
1790,59.067,0.033,<__array_function__ internals>:177(median)
1790,59.064,0.033,python3.9/site-packages/numpy/lib/function_base.py:3734(median)
1781,58.76,0.033,python3.9/site-packages/numpy/lib/function_base.py:3824(_median)
1780,53.41,0.03,<__array_function__ internals>:177(partition)
1780,53.407,0.03,python3.9/site-packages/numpy/core/fromnumeric.py:667(partition)
1785,51.759,0.029,{method 'partition' of 'numpy.ndarray' objects}
0,50.134,0,{method 'astype' of 'numpy.ndarray' objects}
0,50.076,0,python3.9/site-packages/jax/interpreters/mlir.py:388(__init__)
9979,49.893,0.005,python3.9/site-packages/numpy/lib/npyio.py:254(load)
48846,48.846,0.001,python3.9/site-packages/jax/interpreters/mlir.py:325(make_ir_context)
48239,48.239,0.001,python3.9/site-packages/jax/interpreters/batching.py:215(process_call)
0,46.318,0,python3.9/site-packages/jax/_src/lax/lax.py:489(_convert_element_type)
0,46.178,0,python3.9/site-packages/jax/_src/lax/lax.py:400(add)
0,43.344,0,python3.9/site-packages/jax/_src/lax/lax.py:466(lt)
1,42.817,42.817,coppafish/pipeline/stitch.py:9(stitch)
0,42.111,0,python3.9/site-packages/jax/_src/lax/lax.py:719(broadcast_in_dim)
0,41.551,0,python3.9/site-packages/jax/core.py:362(abstract_eval_)
0,40.447,0,python3.9/site-packages/jax/_src/lax/utils.py:55(standard_abstract_eval)
0,40.235,0,python3.9/site-packages/jax/_src/lax/lax.py:841(select)
1152,38.025,0.033,python3.9/site-packages/jax/_src/numpy/lax_numpy.py:1569(pad)
18869,37.738,0.002,python3.9/site-packages/jax/_src/lax/lax.py:876(transpose)
9434,37.737,0.004,python3.9/site-packages/jax/_src/numpy/lax_numpy.py:521(transpose)
440,37.376,0.085,coppafish/omp/spots.py:72(cropped_coef_image)
0,35.275,0,python3.9/site-packages/jax/_src/lax/lax.py:1205(expand_dims)
4856,33.989,0.007,python3.9/site-packages/jax/_src/numpy/lax_numpy.py:769(_transpose)
0,33.875,0,python3.9/site-packages/jax/core.py:570(__add__)
10923,32.769,0.003,python3.9/site-packages/numpy/lib/format.py:790(open_memmap)
0,30.729,0,python3.9/site-packages/jax/_src/lax/lax.py:470(convert_element_type)
10117,30.351,0.003,python3.9/site-packages/numpy/core/memmap.py:208(__new__)
0,29.992,0,python3.9/site-packages/jax/interpreters/partial_eval.py:1427(to_jaxpr2)
1560,29.647,0.019,coppafish/omp/coefs_optimised.py:298(get_best_gene)
1541,29.279,0.019,coppafish/omp/coefs_optimised.py:246(get_best_gene_single)
1529,26.001,0.017,coppafish/omp/coefs_optimised.py:37(fit_coefs)
1512,25.701,0.017,coppafish/omp/coefs_optimised.py:12(fit_coefs_single)
0,24.26,0,python3.9/site-packages/jax/_src/config.py:256(get_state)
5970,23.882,0.004,python3.9/site-packages/jax/_src/numpy/lax_numpy.py:4478(_astype)
0,22.994,0,python3.9/site-packages/jax/interpreters/mlir.py:301(_source_info_to_location)
1763,22.917,0.013,coppafish/omp/coefs_optimised.py:119(get_best_gene_base)
11348,22.697,0.002,python3.9/site-packages/jax/_src/numpy/reductions.py:170(sum)
0,21.108,0,python3.9/site-packages/jax/_src/numpy/ufuncs.py:79(fn)
0,20.648,0,python3.9/site-packages/jax/interpreters/mlir.py:177(ir_constants)
0,20.436,0,python3.9/site-packages/jax/interpreters/mlir.py:887(read)
1,20.072,20.072,coppafish/pipeline/register.py:9(register)
1536,19.964,0.013,python3.9/site-packages/jax/_src/numpy/linalg.py:591(lstsq)
3978,19.89,0.005,python3.9/site-packages/jax/_src/numpy/lax_numpy.py:4590(<lambda>)
0,19.737,0,python3.9/site-packages/numpy/core/fromnumeric.py:51(_wrapfunc)
9844,19.688,0.002,<__array_function__ internals>:177(concatenate)
1598,19.17,0.012,python3.9/site-packages/jax/_src/numpy/linalg.py:550(_lstsq)
9570,19.139,0.002,python3.9/site-packages/jax/_src/numpy/lax_numpy.py:757(_reshape)
9514,19.029,0.002,python3.9/site-packages/jax/_src/lax/lax.py:756(reshape)
15,18.75,1.25,coppafish/setup/notebook.py:409(__setattr__)
9,18.75,2.083,coppafish/setup/notebook.py:453(add_page)
9,18.75,2.083,coppafish/setup/notebook.py:474(__iadd__)
8,18.748,2.344,coppafish/setup/notebook.py:534(save)
0,18.638,0,python3.9/site-packages/jax/_src/numpy/lax_numpy.py:1827(array)
0,18.094,0,{built-in method builtins.next}
8894,17.789,0.002,python3.9/site-packages/jax/interpreters/mlir.py:1018(_xla_call_lower)
8883,17.766,0.002,python3.9/site-packages/jax/interpreters/mlir.py:1000(_call_lowering)
1177,17.652,0.015,<__array_function__ internals>:177(append)
1177,17.649,0.015,python3.9/site-packages/numpy/lib/function_base.py:5385(append)
0,17.557,0,python3.9/site-packages/jax/core.py:574(__mul__)
0,17.281,0,{built-in method builtins.any}
0,17.121,0,python3.9/site-packages/jax/interpreters/partial_eval.py:1499(_inline_literals)
0,17.04,0,python3.9/collections/__init__.py:447(_replace)
1,16.737,16.737,coppafish/register/base.py:218(icp)
1491,16.399,0.011,coppafish/register/base.py:9(get_transform)
40,16.121,0.403,python3.9/site-packages/numpy_indexed/arraysetops.py:115(indices)
1,15.971,15.971,coppafish/pipeline/call_reference_spots.py:12(call_reference_spots)
0,15.849,0,python3.9/site-packages/jax/_src/numpy/lax_numpy.py:1907(asarray)
0,15.848,0,python3.9/site-packages/jax/interpreters/mlir.py:206(_numpy_array_constant)
0,15.407,0,python3.9/site-packages/jax/interpreters/mlir.py:574(module_to_string)
80,15.058,0.188,python3.9/site-packages/numpy_indexed/index.py:288(as_index)
80,15.057,0.188,python3.9/site-packages/numpy_indexed/index.py:173(__init__)
80,15.054,0.188,python3.9/site-packages/numpy_indexed/index.py:112(__init__)
7456,14.911,0.002,<__array_function__ internals>:177(argsort)
7450,14.901,0.002,python3.9/site-packages/numpy/core/fromnumeric.py:1012(argsort)
7444,14.889,0.002,{method 'argsort' of 'numpy.ndarray' objects}
0,14.882,0,python3.9/site-packages/jax/_src/lax/lax.py:554(concatenate)
377,14.71,0.039,python3.9/site-packages/numpy/lib/format.py:697(read_array)
205,14.541,0.071,{built-in method numpy.fromfile}
0,14.031,0,python3.9/site-packages/jax/interpreters/batching.py:194(process_primitive)
0,13.758,0,python3.9/site-packages/jax/core.py:377(eval_jaxpr)
0,13.372,0,python3.9/site-packages/jax/_src/dtypes.py:423(dtype)
1639,13.115,0.008,coppafish/call_spots/dot_product_optimised.py:6(dot_product_score_single)
0,12.647,0,python3.9/site-packages/jax/_src/lax/lax.py:2691(_broadcast_in_dim_staging_rule)
4209,12.627,0.003,python3.9/site-packages/jax/_src/numpy/lax_numpy.py:1660(concatenate)
1787,12.506,0.007,python3.9/site-packages/jax/_src/numpy/lax_numpy.py:1698(hstack)
4127,12.382,0.003,python3.9/site-packages/jax/_src/numpy/lax_numpy.py:1683(<listcomp>)
0,12.27,0,python3.9/site-packages/jax/_src/source_info_util.py:149(current)
0,11.873,0,python3.9/site-packages/jax/_src/numpy/lax_numpy.py:881(expand_dims)
0,11.606,0,python3.9/site-packages/jax/_src/numpy/lax_numpy.py:3638(_split_index_for_jit)
0,11.593,0,python3.9/site-packages/jax/_src/source_info_util.py:99(replace)
0,11.214,0,python3.9/site-packages/jax/_src/lax/lax.py:1404(naryop_dtype_rule)
0,11.174,0,python3.9/site-packages/jax/core.py:625(__getattr__)
0,11.168,0,python3.9/site-packages/jax/interpreters/mlir.py:284(_python_scalar_handler)
0,11.126,0,python3.9/site-packages/jax/_src/dtypes.py:232(issubdtype)
0,10.988,0,{built-in method builtins.all}
0,10.958,0,python3.9/site-packages/jax/_src/dtypes.py:98(canonicalize_dtype)
0,10.728,0,python3.9/site-packages/jax/_src/numpy/lax_numpy.py:3938(_expand_bool_indices)
0,10.677,0,python3.9/site-packages/jax/_src/numpy/util.py:328(_promote_args)
5,10.593,2.119,coppafish/utils/raw.py:75(load)
0,10.572,0,python3.9/site-packages/jaxlib/mlir/dialects/_mhlo_ops_gen.py:1111(__init__)
4,10.41,2.602,coppafish/utils/nd2.py:179(get_image)
0,10.291,0,{built-in method builtins.getattr}
0,10.266,0,python3.9/site-packages/jax/_src/config.py:101(_read)
0,10.197,0,python3.9/site-packages/jax/_src/lax/lax.py:1530(_nary_lower_mhlo)
0,10.166,0,python3.9/site-packages/jax/_src/dtypes.py:438(_lattice_result_type)
0,9.936,0,python3.9/site-packages/jax/_src/lax/lax.py:2156(_compare_lower_mhlo)
0,9.134,0,python3.9/site-packages/jax/interpreters/partial_eval.py:1461(_const_folding_and_forwarding)
0,9.113,0,python3.9/site-packages/jax/core.py:416(full_raise)
0,9.066,0,<__array_function__ internals>:177(result_type)
0,8.664,0,{built-in method builtins.isinstance}
0,8.579,0,python3.9/site-packages/jax/interpreters/xla.py:263(abstractify)
198,8.501,0.043,python3.9/site-packages/slicerator/__init__.py:183(__getitem__)
202,8.493,0.042,python3.9/site-packages/pims/base_frames.py:97(__getitem__)
202,8.493,0.042,python3.9/site-packages/pims/base_frames.py:577(get_frame)
202,8.481,0.042,python3.9/site-packages/nd2reader/parser.py:81(get_image_by_attributes)
202,8.481,0.042,python3.9/site-packages/nd2reader/reader.py:72(get_frame_2D)
0,8.457,0,python3.9/site-packages/jax/core.py:1153(get_aval)
0,8.422,0,python3.9/site-packages/jax/interpreters/mlir.py:237(_ndarray_constant_handler)
0,8.271,0,python3.9/site-packages/jax/core.py:207(replace)
202,8.075,0.04,python3.9/site-packages/nd2reader/parser.py:249(_get_raw_image_data)
0,8.032,0,python3.9/site-packages/jax/core.py:1023(find_top_trace)
0,7.961,0,<__array_function__ internals>:177(amax)
0,7.924,0,python3.9/site-packages/numpy/core/fromnumeric.py:2677(amax)
3930,7.859,0.002,python3.9/site-packages/jax/_src/numpy/lax_numpy.py:992(where)
0,7.834,0,python3.9/site-packages/jax/_src/numpy/util.py:256(_promote_dtypes)
0,7.804,0,<__array_function__ internals>:177(any)
0,7.779,0,python3.9/site-packages/jax/_src/dtypes.py:439(<genexpr>)
0,7.717,0,python3.9/site-packages/jax/core.py:1143(concrete_aval)
3852,7.703,0.002,python3.9/site-packages/jax/_src/numpy/linalg.py:435(norm)
0,7.687,0,python3.9/site-packages/jax/_src/numpy/lax_numpy.py:3880(<listcomp>)
0,7.577,0,python3.9/site-packages/numpy/core/fromnumeric.py:2307(any)
0,7.284,0,python3.9/site-packages/jax/_src/dtypes.py:287(_dtype_and_weaktype)
387,6.965,0.018,python3.9/site-packages/jax/_src/numpy/reductions.py:199(max)
0,6.834,0,python3.9/site-packages/jax/_src/numpy/lax_numpy.py:3700(<genexpr>)
0,6.783,0,python3.9/site-packages/numpy/core/numerictypes.py:356(issubdtype)
0,6.753,0,python3.9/collections/__init__.py:437(_make)
0,6.586,0,python3.9/site-packages/jax/_src/dispatch.py:748(_execute_trivial)
0,6.496,0,python3.9/site-packages/jax/_src/source_info_util.py:131(user_frame)
0,6.461,0,python3.9/site-packages/jax/interpreters/mlir.py:1070(compare_mhlo)
0,6.453,0,python3.9/site-packages/jax/core.py:1329(__init__)
0,6.45,0,python3.9/contextlib.py:114(__enter__)
624,6.244,0.01,python3.9/site-packages/scipy/sparse/_csr.py:326(_get_arrayXslice)
0,6.235,0,python3.9/site-packages/jax/interpreters/mlir.py:893(aval)
622,6.224,0.01,python3.9/site-packages/scipy/sparse/_compressed.py:688(_major_index_fancy)
0,6.116,0,python3.9/site-packages/jax/_src/lax/lax.py:1407(<genexpr>)
0,6.091,0,python3.9/site-packages/jax/_src/dispatch.py:757(<listcomp>)
0,6.057,0,python3.9/site-packages/jax/_src/dtypes.py:459(result_type)
605,6.05,0.01,python3.9/site-packages/scipy/sparse/_base.py:837(nonzero)
200,5.987,0.03,coppafish/spot_colors/base_optimised.py:173(all_pixel_yxz)
0,5.947,0,python3.9/site-packages/jax/_src/source_info_util.py:128(<genexpr>)
0,5.916,0,python3.9/site-packages/jax/_src/lax/lax.py:2613(_broadcast_in_dim_shape_rule)
0,5.901,0,python3.9/site-packages/jax/interpreters/batching.py:138(aval)
0,5.644,0,python3.9/site-packages/jax/interpreters/mlir.py:414(replace)
0,5.476,0,python3.9/site-packages/jax/_src/lax/lax.py:1513(broadcast_mhlo)
608,5.469,0.009,python3.9/site-packages/scipy/sparse/_compressed.py:1034(tocoo)
0,5.231,0,python3.9/site-packages/jax/interpreters/partial_eval.py:1591(makevar)
646,5.168,0.008,coppafish/utils/morphology/filter_optimised.py:35(manual_convolve)
0,5.09,0,python3.9/dataclasses.py:1236(replace)
632,5.056,0.008,coppafish/utils/morphology/filter_optimised.py:30(manual_convolve_single)
0,5.047,0,python3.9/site-packages/jax/_src/abstract_arrays.py:52(canonical_concrete_aval)
629,5.029,0.008,{built-in method scipy.sparse._sparsetools.expandptr}
0,4.963,0,python3.9/site-packages/jax/_src/lax/slicing.py:1318(_gather_lower)
0,4.959,0,python3.9/site-packages/jax/core.py:1709(canonicalize_shape)
1634,4.902,0.003,python3.9/site-packages/jax/_src/numpy/setops.py:200(isin)
0,4.891,0,python3.9/contextlib.py:123(__exit__)
0,4.884,0,python3.9/site-packages/jax/interpreters/partial_eval.py:1548(new_const)
202,4.844,0.024,python3.9/site-packages/scipy/sparse/_construct.py:522(vstack)
202,4.843,0.024,python3.9/site-packages/scipy/sparse/_construct.py:556(bmat)
202,4.839,0.024,python3.9/site-packages/scipy/sparse/_construct.py:405(_compressed_sparse_stack)
0,4.834,0,python3.9/site-packages/jax/_src/source_info_util.py:108(is_user_filename)
4771,4.771,0.001,python3.9/site-packages/jax/interpreters/mlir.py:983(f_lowered)
0,4.737,0,{built-in method __new__ of type object at 0x102eab2b8}
0,4.726,0,python3.9/site-packages/jaxlib/mlir/dialects/_mhlo_ops_gen.py:98(__init__)
0,4.71,0,python3.9/site-packages/jax/core.py:2607(str_eqn_compact)
0,4.694,0,python3.9/site-packages/jax/_src/abstract_arrays.py:35(make_shaped_array)
0,4.664,0,python3.9/site-packages/jax/_src/abstract_arrays.py:67(_make_concrete_python_scalar)
0,4.648,0,python3.9/site-packages/jax/interpreters/batching.py:603(broadcast_batcher)
1158,4.631,0.004,coppafish/utils/morphology/filter_optimised.py:9(get_shifts_from_kernel)
352,4.579,0.013,coppafish/omp/spots.py:53(<listcomp>)
0,4.464,0,{method 'min' of 'numpy.ndarray' objects}
0,4.429,0,<__array_function__ internals>:177(ndim)
0,4.366,0,python3.9/site-packages/jax/interpreters/partial_eval.py:2145(_input_type_to_tracers)
0,4.363,0,python3.9/site-packages/jax/core.py:1997(mapped_aval)
0,4.336,0,python3.9/site-packages/jax/_src/dtypes.py:125(_scalar_type_to_dtype)
854,4.27,0.005,python3.9/site-packages/jax/_src/numpy/lax_numpy.py:2086(arange)
0,4.267,0,coppafish/stitch/shift.py:10(shift_score)
2119,4.238,0.002,python3.9/site-packages/jax/_src/numpy/setops.py:37(in1d)
0,4.221,0,python3.9/site-packages/jaxlib/mlir/dialects/_mhlo_ops_gen.py:967(__init__)
0,4.156,0,python3.9/site-packages/jax/_src/numpy/ufuncs.py:93(fn)
0,4.15,0,python3.9/site-packages/numpy/core/_methods.py:42(_amin)
197,4.143,0.021,python3.9/site-packages/scipy/sparse/_data.py:191(_min_or_max)
197,4.143,0.021,python3.9/site-packages/scipy/sparse/_data.py:294(max)
0,4.12,0,python3.9/site-packages/jax/_src/numpy/util.py:264(<listcomp>)
196,4.114,0.021,python3.9/site-packages/scipy/sparse/_data.py:163(_min_or_max_axis)
0,4.079,0,python3.9/site-packages/jax/_src/lax/lax.py:4445(_check_shapelike)
0,4.014,0,{method 'read' of '_io.BufferedReader' objects}
1332,3.996,0.003,python3.9/site-packages/jax/_src/numpy/lax_numpy.py:1239(nonzero)
1996,3.991,0.002,python3.9/site-packages/numpy/lib/utils.py:1011(_median_nancheck)
0,3.989,0,{method 'join' of 'str' objects}
0,3.927,0,python3.9/site-packages/jax/_src/lax/slicing.py:1056(_gather_shape_rule)
0,3.926,0,python3.9/site-packages/jax/_src/lax/lax.py:3311(_select_mhlo_lowering)
0,3.925,0,python3.9/site-packages/jax/interpreters/partial_eval.py:1508(<lambda>)
0,3.901,0,python3.9/site-packages/jax/core.py:1593(_dim_handler_and_canonical)
0,3.841,0,python3.9/site-packages/jax/interpreters/partial_eval.py:1541(new_arg)
0,3.803,0,<__array_function__ internals>:177(shape)
0,3.801,0,python3.9/site-packages/jax/core.py:267(<lambda>)
0,3.73,0,python3.9/site-packages/jax/core.py:2013(_map_shaped_array)
1839,3.679,0.002,python3.9/site-packages/jax/interpreters/mlir.py:1169(cached_lowering)
0,3.644,0,{method 'take' of 'numpy.ndarray' objects}
0,3.629,0,python3.9/site-packages/jaxlib/mlir/dialects/_mhlo_ops_gen.py:4105(__init__)
0,3.626,0,{built-in method builtins.max}
1807,3.614,0.002,python3.9/site-packages/jax/interpreters/mlir.py:848(_emit_lowering_rule_as_fun)
0,3.578,0,python3.9/site-packages/jax/_src/lax/lax.py:380(bitwise_and)
3558,3.558,0.001,{method 'max' of 'numpy.ndarray' objects}
3553,3.553,0.001,python3.9/site-packages/numpy/core/_methods.py:38(_amax)
0,3.47,0,python3.9/site-packages/jax/_src/dispatch.py:158(prim_fun)
0,3.429,0,python3.9/site-packages/numpy/core/numerictypes.py:282(issubclass_)
683,3.417,0.005,{built-in method scipy.sparse._sparsetools.csr_row_index}
0,3.375,0,python3.9/site-packages/jax/interpreters/partial_eval.py:1438(newvar)
198,3.361,0.017,coppafish/omp/coefs_optimised.py:202(get_best_gene_first_iter)
0,3.333,0,{built-in method jaxlib.xla_extension.get_traceback}
0,3.33,0,python3.9/site-packages/jax/core.py:1407(__init__)
195,3.314,0.017,coppafish/omp/coefs_optimised.py:157(get_best_gene_first_iter_single)
0,3.308,0,{built-in method builtins.len}
0,3.268,0,python3.9/site-packages/jax/core.py:2609(<genexpr>)
0,3.255,0,{built-in method numpy.array}
0,3.25,0,python3.9/site-packages/jax/_src/numpy/lax_numpy.py:2736(matmul)
0,3.231,0,python3.9/site-packages/jaxlib/mlir/dialects/_mhlo_ops_gen.py:658(__init__)
0,3.211,0,python3.9/site-packages/jax/_src/dispatch.py:89(arg_spec)
0,3.198,0,python3.9/site-packages/jax/_src/lax/lax.py:4423(_check_same_dtypes)
0,3.189,0,python3.9/site-packages/jax/_src/config.py:118(check_exists)
0,3.122,0,python3.9/site-packages/jax/interpreters/xla.py:274(_make_abstract_python_scalar)
519,3.114,0.006,python3.9/site-packages/jax/_src/numpy/lax_numpy.py:1522(_pad)
0,3.112,0,python3.9/site-packages/jax/core.py:566(__le__)
613,3.067,0.005,python3.9/site-packages/jax/_src/numpy/lax_numpy.py:1302(_pad_constant)
0,3.046,0,python3.9/site-packages/jaxlib/mlir/dialects/_mhlo_ops_gen.py:2363(__init__)
0,2.955,0,python3.9/site-packages/numpy/core/fromnumeric.py:3121(ndim)
266,2.923,0.011,coppafish/find_spots/base.py:7(spot_yxz)
2922,2.922,0.001,python3.9/site-packages/jax/_src/numpy/util.py:385(_where)
0,2.903,0,python3.9/site-packages/jax/_src/lax/lax.py:4472(_const)
0,2.845,0,{built-in method builtins.hasattr}
0,2.844,0,python3.9/site-packages/jax/_src/lax/lax.py:2750(_broadcast_in_dim_lower)
0,2.809,0,python3.9/site-packages/jax/_src/source_info_util.py:169(user_context)
2776,2.776,0.001,python3.9/site-packages/jax/core.py:578(__truediv__)
0,2.75,0,python3.9/site-packages/jax/_src/numpy/reductions.py:62(_reduction)
0,2.676,0,python3.9/site-packages/jax/core.py:210(new_jaxpr_eqn)
